Deform_axial;Delta_U_(kPa);Sigma_d_(kPa);Sigma_3_(kPa)
0;0;0;50
0.00216;2.2;52.918;50
0.00675;11.2;68.576;50
0.016;23.7;95.506;50
0.02529;28.9;109.234;50
0.03457;31.8;120.752;50
0.04621;33.1;132.657;50
0.0532;34.3;136.422;50
0.06247;32.8;143.53;50
0.06948;32.3;145.249;50
0.07876;32;145.644;50
0.08807;31.3;146.91;50
0.09508;30.2;147.592;50
0.10667;26.4;148.383;50
0.116;23.8;149.487;50
0.13696;16.8;149.397;50
0.15099;13.7;150.366;50
0.16259;11.1;150.825;50
0.17888;6.3;151.999;50
0.20285;3.2;150.754;50
