Deform_axial_(%),Delta_U_(kPa),Sigma_d_(kPa),Sigma_3_(kPa),Sigma_1_(kPa),Sigma'_1_(kPa),Sigma3'_(kPa),Sigma'_1/Sigma'_3,t,s,s',q,p,p'
0.0,0.0,0.0,100,100.0,100.0,100.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0
0.18,4.1,58.995,100,158.995,154.895,95.9,1.62,29.497500000000002,129.4975,125.39750000000001,58.995,119.665,115.56500000000001
0.62,8.5,78.613,100,178.613,170.113,91.5,1.86,39.3065,139.3065,130.8065,78.613,126.20433333333334,117.70433333333334
1.52,16.6,121.784,100,221.784,205.184,83.4,2.46,60.891999999999996,160.892,144.292,121.784,140.59466666666665,123.99466666666667
2.42,28.0,145.505,100,245.505,217.505,72.0,3.02,72.7525,172.7525,144.7525,145.505,148.50166666666667,120.50166666666667
3.3300000000000005,39.1,164.367,100,264.36699999999996,225.26699999999997,60.9,3.7,82.18349999999998,182.18349999999998,143.0835,164.367,154.789,115.68899999999998
4.47,53.8,179.797,100,279.797,225.997,46.2,4.89,89.89850000000001,189.8985,136.0985,179.797,159.93233333333333,106.13233333333335
5.16,59.9,185.397,100,285.397,225.49699999999999,40.1,5.62,92.6985,192.6985,132.7985,185.397,161.799,101.899
6.08,66.2,192.138,100,292.13800000000003,225.93800000000005,33.8,6.68,96.06900000000002,196.06900000000002,129.86900000000003,192.138,164.04600000000002,97.846
6.76,68.7,195.835,100,295.83500000000004,227.13500000000005,31.299999999999997,7.26,97.91750000000002,197.91750000000002,129.21750000000003,195.835,165.27833333333334,96.57833333333333
7.68,70.1,200.633,100,300.63300000000004,230.53300000000004,29.900000000000006,7.71,100.31650000000002,200.31650000000002,130.21650000000002,200.633,166.87766666666667,96.77766666666669
8.59,69.7,199.485,100,299.485,229.78500000000003,30.299999999999997,7.58,99.7425,199.7425,130.04250000000002,199.485,166.495,96.795
9.27,68.0,201.292,100,301.29200000000003,233.29200000000003,32.0,7.29,100.64600000000002,200.64600000000002,132.64600000000002,201.292,167.09733333333335,99.09733333333334
10.41,67.1,202.012,100,302.012,234.912,32.900000000000006,7.14,101.006,201.006,133.906,202.012,167.33733333333333,100.23733333333332
11.33,65.6,203.182,100,303.182,237.58200000000002,34.400000000000006,6.91,101.59100000000001,201.591,135.991,203.182,167.72733333333335,102.12733333333335
13.38,61.8,203.995,100,303.995,242.195,38.2,6.34,101.9975,201.9975,140.1975,203.995,167.99833333333333,106.19833333333334
14.74,58.4,206.976,100,306.976,248.576,41.6,5.98,103.488,203.488,145.088,206.976,168.992,110.592
15.89,55.1,212.608,100,312.608,257.508,44.9,5.74,106.304,206.304,151.20399999999998,212.608,170.86933333333332,115.76933333333334
17.49,50.2,218.328,100,318.328,268.128,49.8,5.38,109.16399999999999,209.164,158.964,218.328,172.77599999999998,122.57599999999998
19.830000000000002,47.8,222.333,100,322.33299999999997,274.53299999999996,52.2,5.26,111.16649999999998,211.16649999999998,163.36649999999997,222.333,174.111,126.31099999999999
